query,song_id
I'm in the mood for some high-energy modern rock like Panic! At The Disco's 'High Hopes',1rqqCSm0Qe4I9rUvWncaom
Can you recommend more songs in the key of F that are upbeat and popular?,1rqqCSm0Qe4I9rUvWncaom
Give me some modern rock tracks with high speechiness and very high loudness,1rqqCSm0Qe4I9rUvWncaom
I'm looking for more mainstream rock songs from 2018 with a medium tempo and positive mood,1rqqCSm0Qe4I9rUvWncaom
Recommend me some modern rock hits with low acousticness and very low liveness,1rqqCSm0Qe4I9rUvWncaom
Can you suggest some upbeat rock-and-roll tunes similar to Sleigh Ride?,5ASM6Qjiav2xPe7gRkQMsQ
Give me more high-energy rock tracks in a major key like this one.,5ASM6Qjiav2xPe7gRkQMsQ
"I'm in the mood for some lively, acoustic rock-and-roll songs. Any suggestions?",5ASM6Qjiav2xPe7gRkQMsQ
What are some popular rock-and-roll tracks with a very high liveness and high energy?,5ASM6Qjiav2xPe7gRkQMsQ
Do you have any rock songs with a very high valence and medium tempo like Sleigh Ride?,5ASM6Qjiav2xPe7gRkQMsQ
Can you recommend more modern rock songs with high acousticness and medium energy?,2FY7b99s15jUprqC0M5NCT
Give me some upbeat tracks in the key of D from around 2018.,2FY7b99s15jUprqC0M5NCT
I'm in the mood for some popular rock songs that are not explicit.,2FY7b99s15jUprqC0M5NCT
Find me some mellow tracks with low tempo and very low valence.,2FY7b99s15jUprqC0M5NCT
Recommend some solo songs with high danceability and low liveness.,2FY7b99s15jUprqC0M5NCT
Can you recommend more high-energy heartland rock songs from the late 2010s?,1G4cdOtF36ZCs6i2dZoC87
I'm looking for upbeat tracks in the key of D with medium energy levels.,1G4cdOtF36ZCs6i2dZoC87
Give me popular songs similar to 'Drunk Me' by Mitchell Tenpenny.,1G4cdOtF36ZCs6i2dZoC87
Do you have any solo heartland rock songs with high loudness and speechiness?,1G4cdOtF36ZCs6i2dZoC87
I want to explore more medium acousticness songs with a major mode and low valence.,1G4cdOtF36ZCs6i2dZoC87
Can you recommend more mellow modern country rock songs from the past few years?,3pJkBPHadRAxBBo484RipI
Give me upbeat country tracks with a major key and high danceability.,3pJkBPHadRAxBBo484RipI
I'm looking for popular country songs with low energy and a live feel.,3pJkBPHadRAxBBo484RipI
Find me non-explicit solo country tunes in C# major with medium loudness.,3pJkBPHadRAxBBo484RipI
Recommend modern country rock songs in a low tempo and low valence.,3pJkBPHadRAxBBo484RipI
"I'm in the mood for some upbeat, high-energy country rock like 'Last Shot'",6viHvc13l9A6Ua6xugpeX6
Can you recommend more songs in E major that have a lot of live energy?,6viHvc13l9A6Ua6xugpeX6
Give me some popular modern country rock tracks with high speechiness,6viHvc13l9A6Ua6xugpeX6
I want to discover more solo artists with very high loudness and energy levels,6viHvc13l9A6Ua6xugpeX6
Find me some modern country rock songs with a major key and low valence,6viHvc13l9A6Ua6xugpeX6
Can you recommend some other modern country rock tracks with a high acousticness?,34DFpyq5NJJ79GnGbbJH3p
I'm looking for music similar to 'This Is It' but with a very high tempo.,34DFpyq5NJJ79GnGbbJH3p
Give me more solo songs in the key of G# that are not explicit.,34DFpyq5NJJ79GnGbbJH3p
Do you have any very high energy modern country rock songs from 2018?,34DFpyq5NJJ79GnGbbJH3p
Find me some very popular tracks with medium valence and a low danceability.,34DFpyq5NJJ79GnGbbJH3p
Can you recommend some modern rock songs with high energy and danceability like 'broken' by lovelytheband?,6XcfKZvJio9Z0fQy11GnNX
"I'm looking for upbeat tracks in the key of G with high tempo and low valence, similar to 'broken.'",6XcfKZvJio9Z0fQy11GnNX
"Give me some popular modern rock songs from 2018 with very low acousticness and high loudness, like 'broken' by lovelytheband.",6XcfKZvJio9Z0fQy11GnNX
"Do you have any modern rock songs with very low acousticness and high instrumentalness, similar to 'broken' by lovelytheband?",6XcfKZvJio9Z0fQy11GnNX
"I want to discover more modern rock tracks with high danceability and medium speechiness, like 'broken' by lovelytheband.",6XcfKZvJio9Z0fQy11GnNX
Can you recommend more modern country rock songs like this one?,6CyJlVAEFlNdpggOLanytL
Give me upbeat tracks with high energy like this one from 2017.,6CyJlVAEFlNdpggOLanytL
I'm in the mood for a fast-paced song in a major key - any suggestions?,6CyJlVAEFlNdpggOLanytL
Find me popular rock songs with medium speechiness and high loudness.,6CyJlVAEFlNdpggOLanytL
Recommend me some non-explicit solo tracks with high tempo and low danceability.,6CyJlVAEFlNdpggOLanytL
Can you recommend more modern country rock songs with a high energy level like 'Blue Tacoma'?,2oPCR02nduYVpj7CTfsA0d
I'm looking for upbeat tracks in A major that are popular but not explicit. Any suggestions?,2oPCR02nduYVpj7CTfsA0d
Give me some solo songs with a very high tempo and high valence similar to Russell Dickerson's style.,2oPCR02nduYVpj7CTfsA0d
Is there anything with a very low acousticness and high liveness that's as catchy as 'Blue Tacoma'?,2oPCR02nduYVpj7CTfsA0d
I'm in the mood for some high-energy music in the major key of A. What do you recommend?,2oPCR02nduYVpj7CTfsA0d
"Can you recommend more songs like 'Bohemian Rhapsody' for a chill, acoustic vibe?",3z8h0TU7ReDPLIbEnYhWZb
I'm looking for energetic glam rock tracks from the late 70s and early 80s.,3z8h0TU7ReDPLIbEnYhWZb
